year,death_rate,drug_deaths,state_codes,state_names,state_census_area,state_abb,state_sightings,duration,changing,chevron,cigar,circle,cone,cross,cylinder,diamond,disk,egg,fireball,flash,formation,light,other,oval,rectangle,sphere,teardrop,triangle,unknown,id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228,GEO_ID,NAME,population,B01003_001M
2014.0,18.2,"1,067",29,Missouri,68741.522,mo,1576.0,1144.3881979695432,34.0,28.0,56.0,110.0,5.0,4.0,37.0,23.0,102.0,9.0,132.0,15.0,26.0,328.0,116.0,61.0,23.0,113.0,14.0,192.0,118.0,29.0,Missouri,MO,15.5,0.4,38.5,0.1,48363.0,567.0,12.9,11.6,14.3,30.2,28.6,31.9,20.6,19.2,22.1,,0400000US29,Missouri,6063589,*****
2014.0,12.4,125,30,Montana,145545.801,mt,510.0,2148.7235294117645,12.0,8.0,11.0,33.0,1.0,2.0,3.0,10.0,32.0,4.0,57.0,11.0,15.0,115.0,27.0,28.0,5.0,28.0,3.0,38.0,49.0,30.0,Montana,MT,15.4,0.8,39.6,0.3,46328.0,1217.0,12.9,11.6,14.1,26.4,24.9,27.9,19.9,18.5,21.4,,0400000US30,Montana,1023579,*****
2014.0,7.2,125,31,Nebraska,76824.171,ne,405.0,1063.5654320987655,9.0,3.0,15.0,36.0,2.0,1.0,4.0,7.0,21.0,3.0,27.0,4.0,9.0,87.0,33.0,15.0,13.0,33.0,7.0,36.0,31.0,31.0,Nebraska,NE,12.4,0.5,36.2,0.2,52686.0,688.0,12.4,11.5,13.2,30.2,29.2,31.2,17.3,16.5,18.2,,0400000US31,Nebraska,1881503,*****
2014.0,18.4,545,32,Nevada,109781.18,nv,905.0,2926.0165193370167,23.0,15.0,25.0,73.0,3.0,1.0,18.0,10.0,56.0,5.0,51.0,15.0,38.0,183.0,78.0,55.0,13.0,65.0,9.0,65.0,75.0,32.0,Nevada,NV,15.2,0.7,37.4,0.2,51450.0,683.0,17.1,15.0,19.3,27.7,25.3,30.1,17.0,15.0,19.0,,0400000US32,Nevada,2839099,*****
2014.0,26.2,334,33,New Hampshire,8952.651,nh,535.0,2141.6028037383176,16.0,3.0,19.0,53.0,3.0,,7.0,11.0,40.0,5.0,31.0,4.0,13.0,125.0,33.0,22.0,16.0,37.0,5.0,44.0,42.0,33.0,New Hampshire,NH,9.2,0.6,42.5,0.3,66532.0,1297.0,11.4,10.1,12.7,27.4,25.8,29.1,17.5,16.0,19.0,,0400000US33,New Hampshire,1326813,*****
2014.0,14.0,"1,253",34,New Jersey,7354.22,nj,1512.0,5299.992341269841,27.0,16.0,37.0,151.0,8.0,4.0,23.0,21.0,140.0,11.0,126.0,27.0,39.0,274.0,120.0,83.0,28.0,99.0,13.0,136.0,104.0,34.0,New Jersey,NJ,11.1,0.3,39.4,0.2,71919.0,438.0,12.5,11.5,13.4,26.9,25.7,28.1,15.1,14.1,16.1,,0400000US34,New Jersey,8938175,*****
2014.0,27.3,547,35,New Mexico,121298.148,nm,815.0,5185.816674846626,31.0,11.0,18.0,62.0,13.0,3.0,18.0,15.0,56.0,7.0,44.0,19.0,19.0,171.0,56.0,34.0,20.0,49.0,11.0,56.0,72.0,35.0,New Mexico,NM,21.3,0.9,37.2,0.2,44803.0,849.0,15.4,14.1,16.8,28.4,26.9,30.0,19.2,17.7,20.6,,0400000US35,New Mexico,2085572,*****
2014.0,11.3,"2,300",36,New York,47126.399,ny,3219.0,2914.7115719167446,73.0,47.0,91.0,331.0,10.0,11.0,44.0,51.0,239.0,42.0,240.0,59.0,93.0,622.0,215.0,177.0,53.0,191.0,36.0,314.0,211.0,36.0,New York,NY,15.9,0.3,38.2,0.1,58878.0,393.0,12.3,11.1,13.4,27.0,25.6,28.4,14.4,13.3,15.5,,0400000US36,New York,19746227,*****
2014.0,13.8,"1,358",37,North Carolina,48617.905,nc,1869.0,1281.8316479400748,42.0,28.0,50.0,192.0,8.0,6.0,30.0,25.0,117.0,15.0,135.0,29.0,63.0,392.0,117.0,80.0,32.0,136.0,16.0,192.0,143.0,37.0,North Carolina,NC,17.2,0.3,38.3,0.1,46556.0,381.0,16.1,15.1,17.2,29.7,28.4,31.0,19.1,17.9,20.3,,0400000US37,North Carolina,9943964,*****
2014.0,6.3,43,38,North Dakota,69000.798,nd,138.0,1105.4057971014493,5.0,1.0,4.0,10.0,,,3.0,4.0,12.0,1.0,5.0,3.0,1.0,20.0,14.0,6.0,3.0,4.0,4.0,26.0,6.0,38.0,North Dakota,ND,11.5,0.9,35.1,0.2,59029.0,1681.0,8.8,7.6,10.0,32.2,30.5,33.9,19.9,18.4,21.5,,0400000US38,North Dakota,739482,*****
2014.0,24.6,"2,744",39,Ohio,40860.694,oh,2425.0,1576.1877731958766,57.0,18.0,61.0,230.0,13.0,9.0,42.0,40.0,157.0,23.0,238.0,30.0,75.0,472.0,150.0,114.0,35.0,190.0,21.0,267.0,157.0,39.0,Ohio,OH,15.8,0.3,39.4,0.1,49308.0,363.0,10.2,9.2,11.3,32.6,31.2,34.1,21.0,19.7,22.3,,0400000US39,Ohio,11594163,*****
2014.0,20.3,777,40,Oklahoma,68594.921,ok,766.0,14929.384203655354,23.0,8.0,30.0,71.0,6.0,4.0,15.0,8.0,48.0,3.0,54.0,13.0,25.0,157.0,56.0,32.0,17.0,38.0,7.0,71.0,70.0,40.0,Oklahoma,OK,16.6,0.4,36.2,0.2,47529.0,454.0,13.9,12.9,15.0,33.0,31.6,34.3,21.1,19.9,22.3,,0400000US40,Oklahoma,3878051,*****
2014.0,12.8,522,41,Oregon,95988.013,or,1845.0,1064.2104498644987,51.0,22.0,50.0,178.0,5.0,8.0,36.0,24.0,86.0,13.0,128.0,33.0,51.0,421.0,124.0,78.0,22.0,137.0,15.0,155.0,125.0,41.0,Oregon,OR,16.6,0.5,39.3,0.2,51075.0,490.0,11.0,9.7,12.4,27.9,26.2,29.6,17.0,15.5,18.4,,0400000US41,Oregon,3970239,*****
2014.0,21.9,"2,732",42,Pennsylvania,44742.703,pa,2582.0,3990.1130906274207,43.0,17.0,79.0,247.0,16.0,7.0,34.0,36.0,175.0,26.0,234.0,31.0,90.0,514.0,178.0,134.0,42.0,154.0,25.0,250.0,190.0,42.0,Pennsylvania,PA,13.6,0.3,40.7,0.1,53234.0,420.0,10.1,9.2,11.1,30.2,28.9,31.4,19.9,18.8,21.1,,0400000US42,Pennsylvania,12787209,*****
2014.0,23.4,247,44,Rhode Island,1033.814,ri,290.0,1811.8810344827587,3.0,9.0,4.0,35.0,2.0,,6.0,5.0,26.0,9.0,23.0,3.0,13.0,51.0,21.0,5.0,6.0,13.0,4.0,28.0,17.0,44.0,Rhode Island,RI,14.3,0.9,39.8,0.3,54891.0,1488.0,8.0,6.8,9.2,27.0,25.4,28.6,16.3,14.8,17.7,,0400000US44,Rhode Island,1055173,*****
2014.0,14.4,701,45,South Carolina,30060.696,sc,1076.0,1102.4988847583643,33.0,9.0,28.0,114.0,4.0,2.0,13.0,10.0,50.0,3.0,87.0,23.0,41.0,268.0,68.0,43.0,13.0,72.0,8.0,95.0,74.0,45.0,South Carolina,SC,18.0,0.5,38.8,0.1,45238.0,507.0,17.1,16.0,18.2,32.1,30.9,33.3,21.5,20.4,22.7,,0400000US45,South Carolina,4832482,*****
2014.0,7.8,63,46,South Dakota,75811.0,sd,196.0,2608.640306122449,3.0,2.0,3.0,14.0,,,2.0,1.0,9.0,1.0,12.0,4.0,7.0,48.0,17.0,10.0,4.0,4.0,2.0,22.0,24.0,46.0,South Dakota,SD,14.2,0.7,36.6,0.3,50979.0,1027.0,9.9,8.4,11.4,29.8,27.9,31.8,18.6,16.9,20.2,,0400000US46,South Dakota,853175,*****
2014.0,19.5,"1,269",47,Tennessee,41234.896,tn,1193.0,1610.4615255658007,25.0,15.0,44.0,110.0,4.0,3.0,42.0,20.0,76.0,12.0,88.0,15.0,30.0,207.0,86.0,63.0,20.0,81.0,8.0,129.0,84.0,47.0,Tennessee,TN,18.3,0.4,38.6,0.1,44361.0,561.0,14.2,12.6,15.9,31.2,29.3,33.1,24.2,22.3,26.1,,0400000US47,Tennessee,6549352,*****
2014.0,9.7,"2,601",48,Texas,261231.711,tx,3677.0,2371.3432825673103,100.0,55.0,113.0,306.0,11.0,8.0,65.0,58.0,238.0,35.0,215.0,59.0,110.0,745.0,303.0,205.0,72.0,221.0,38.0,382.0,284.0,48.0,Texas,TX,17.2,0.2,34.3,0.1,53035.0,377.0,24.9,23.7,26.1,31.9,30.6,33.3,14.5,13.6,15.5,,0400000US48,Texas,26956958,*****
2014.0,22.4,603,49,Utah,82169.62,ut,743.0,4739.033647375505,22.0,10.0,12.0,69.0,4.0,2.0,6.0,12.0,58.0,9.0,61.0,15.0,25.0,152.0,46.0,26.0,9.0,55.0,9.0,80.0,49.0,49.0,Utah,UT,11.7,0.6,30.5,0.1,60922.0,658.0,13.9,13.2,14.6,25.7,24.9,26.6,9.7,9.0,10.3,,0400000US49,Utah,2942902,*****
2014.0,13.9,83,50,Vermont,9216.657,vt,307.0,1077.5879478827362,6.0,2.0,7.0,27.0,3.0,3.0,7.0,2.0,15.0,1.0,26.0,7.0,12.0,66.0,20.0,14.0,5.0,26.0,2.0,27.0,23.0,50.0,Vermont,VT,12.2,0.8,42.8,0.3,54166.0,1724.0,6.7,5.9,7.5,24.8,23.5,26.1,16.4,15.2,17.6,,0400000US50,Vermont,626562,*****
2014.0,11.7,980,51,Virginia,39490.086,va,1393.0,9862.555276381909,35.0,20.0,46.0,144.0,7.0,4.0,20.0,23.0,91.0,12.0,96.0,26.0,38.0,253.0,90.0,64.0,19.0,109.0,10.0,140.0,117.0,51.0,Virginia,VA,11.8,0.3,37.7,0.1,64902.0,624.0,13.1,12.0,14.1,28.5,27.2,29.7,19.5,18.4,20.7,,0400000US51,Virginia,8326289,*****
2014.0,13.3,979,53,Washington,66455.521,wa,4268.0,13545.595627928773,92.0,46.0,66.0,347.0,17.0,8.0,56.0,53.0,210.0,38.0,381.0,82.0,127.0,935.0,283.0,189.0,65.0,289.0,29.0,358.0,318.0,53.0,Washington,WA,13.2,0.4,37.5,0.1,61366.0,485.0,10.7,9.7,11.8,27.3,26.0,28.5,15.3,14.3,16.4,,0400000US53,Washington,7061530,*****
2014.0,35.5,627,54,West Virginia,24038.21,wv,486.0,6239.35596707819,11.0,5.0,13.0,49.0,1.0,2.0,18.0,3.0,29.0,6.0,29.0,4.0,14.0,104.0,31.0,25.0,5.0,23.0,4.0,58.0,42.0,54.0,West Virginia,WV,18.3,0.7,41.9,0.2,41059.0,651.0,10.1,9.1,11.2,35.7,34.2,37.2,26.7,25.2,28.1,,0400000US54,West Virginia,1850326,*****
2014.0,15.1,853,55,Wisconsin,54157.805,wi,1333.0,2047.9649662415602,23.0,8.0,34.0,135.0,4.0,4.0,18.0,26.0,73.0,11.0,127.0,18.0,64.0,297.0,83.0,45.0,15.0,80.0,14.0,120.0,105.0,55.0,Wisconsin,WI,13.2,0.4,39.2,0.2,52622.0,433.0,8.5,7.4,9.7,31.2,29.6,32.8,17.4,16.0,18.7,,0400000US55,Wisconsin,5757564,*****
2014.0,19.4,109,56,Wyoming,97093.141,wy,205.0,1841.6292731707317,5.0,4.0,2.0,16.0,,,3.0,1.0,9.0,3.0,17.0,5.0,5.0,52.0,18.0,9.0,2.0,17.0,2.0,16.0,12.0,56.0,Wyoming,WY,11.2,0.9,36.6,0.4,57055.0,1983.0,15.1,13.3,16.9,29.5,27.4,31.5,19.5,17.6,21.4,,0400000US56,Wyoming,584153,*****
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0400000US11,District of Columbia,658893,*****
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0400000US72,Puerto Rico,3548397,*****
