"child","value","parent"
"constant lights",3,"lightform"
"crazy light",3,"lightform"
"darting lights",3,"lightform"
"diameter light",3,"lightform"
"diamond lights",3,"lightform"
"dome light",3,"lightform"
"dual lights",3,"lightform"
"east lights",3,"lightform"
"elliptical lights",3,"lightform"
"emanating light",3,"lightform"
"erratic lights",3,"lightform"
"fiery light",3,"lightform"
"flaming lights",3,"lightform"
"fuzzy lights",3,"lightform"
"ground light",3,"lightform"
"horizontal light",3,"lightform"
"hour light",3,"lightform"
"infrared light",3,"lightform"
"ish lights",3,"lightform"
"laser lights",3,"lightform"
"lights light",3,"lightform"
"lit light",3,"lightform"
"lit lights",3,"lightform"
"main lights",3,"lightform"
"maneuvering lights",3,"lightform"
"moon light",3,"lightform"
"mulitple lights",3,"lightform"
"mystery lights",3,"lightform"
"oblong light",3,"lightform"
"orbs lights",3,"lightform"
"oscillating light",3,"lightform"
"overhead lights",3,"lightform"
"park lights",3,"lightform"
"police lights",3,"lightform"
"reappearing lights",3,"lightform"
"rectangle light",3,"lightform"
"reflecting light",3,"lightform"
"running light",3,"lightform"
"scanning light",3,"lightform"
"shiny lights",3,"lightform"
"similar light",3,"lightform"
"singular light",3,"lightform"
"sphere lights",3,"lightform"
"stadium lights",3,"lightform"
"stange light",3,"lightform"
"stationery light",3,"lightform"
"stobe lights",3,"lightform"
"strage lights",3,"lightform"
"streaming light",3,"lightform"
"tail light",3,"lightform"
"tailed light",3,"lightform"
"teardrop light",3,"lightform"
"tinted lights",3,"lightform"
"top light",3,"lightform"
"total lights",3,"lightform"
"unmoving light",3,"lightform"
"unusal lights",3,"lightform"
"vertical light",3,"lightform"
"violet light",3,"lightform"
"wide light",3,"lightform"
"wierd lights",3,"lightform"
"wobbly light",3,"lightform"
"zigzaging light",3,"lightform"
"2nd light",2,"lightform"
"3red lights",2,"lightform"
"44amber lights",2,"lightform"
"44blue light",2,"lightform"
"44bright light",2,"lightform"
"44green lights",2,"lightform"
"44the light",2,"lightform"
"44white light",2,"lightform"
"accompanying lights",2,"lightform"
"additional lights",2,"lightform"
"adv lights",2,"lightform"
