State,Sightings,Duration,Changing,Chevron,Cigar,Circle,Cone,Cross,Cylinder,Diamond,Disk,Egg,Fireball,Flash,Formation,Light,Other,Oval,Rectangle,Sphere,Teardrop,Triangle,Unknown
South Carolina,1076,1102.4988847583643,33.0,9.0,28.0,114.0,4.0,2.0,13.0,10.0,50.0,3.0,87.0,23.0,41.0,268.0,68.0,43.0,13.0,72.0,8.0,95.0,74.0
South Dakota,196,2608.640306122449,3.0,2.0,3.0,14.0,,,2.0,1.0,9.0,1.0,12.0,4.0,7.0,48.0,17.0,10.0,4.0,4.0,2.0,22.0,24.0
Tennessee,1193,1610.4615255658007,25.0,15.0,44.0,110.0,4.0,3.0,42.0,20.0,76.0,12.0,88.0,15.0,30.0,207.0,86.0,63.0,20.0,81.0,8.0,129.0,84.0
Texas,3677,2371.3432825673103,100.0,55.0,113.0,306.0,11.0,8.0,65.0,58.0,238.0,35.0,215.0,59.0,110.0,745.0,303.0,205.0,72.0,221.0,38.0,382.0,284.0
Utah,743,4739.033647375505,22.0,10.0,12.0,69.0,4.0,2.0,6.0,12.0,58.0,9.0,61.0,15.0,25.0,152.0,46.0,26.0,9.0,55.0,9.0,80.0,49.0
Vermont,307,1077.5879478827362,6.0,2.0,7.0,27.0,3.0,3.0,7.0,2.0,15.0,1.0,26.0,7.0,12.0,66.0,20.0,14.0,5.0,26.0,2.0,27.0,23.0
Virginia,1393,9862.555276381909,35.0,20.0,46.0,144.0,7.0,4.0,20.0,23.0,91.0,12.0,96.0,26.0,38.0,253.0,90.0,64.0,19.0,109.0,10.0,140.0,117.0
Washington,4268,13545.595627928773,92.0,46.0,66.0,347.0,17.0,8.0,56.0,53.0,210.0,38.0,381.0,82.0,127.0,935.0,283.0,189.0,65.0,289.0,29.0,358.0,318.0
West Virginia,486,6239.35596707819,11.0,5.0,13.0,49.0,1.0,2.0,18.0,3.0,29.0,6.0,29.0,4.0,14.0,104.0,31.0,25.0,5.0,23.0,4.0,58.0,42.0
Wisconsin,1333,2047.9649662415602,23.0,8.0,34.0,135.0,4.0,4.0,18.0,26.0,73.0,11.0,127.0,18.0,64.0,297.0,83.0,45.0,15.0,80.0,14.0,120.0,105.0
Wyoming,205,1841.6292731707317,5.0,4.0,2.0,16.0,,,3.0,1.0,9.0,3.0,17.0,5.0,5.0,52.0,18.0,9.0,2.0,17.0,2.0,16.0,12.0
