datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,year,month
1/12/2014 11:00,chambersburg,pa,us,cigar,900,10-15 minutes,2 white cigar-shaped objects with a central black band traveling east to west.,1/24/2014,39.9375,-77.6614,2014.0,1.0
1/12/2014 11:00,fort collins,mi,,sphere,60,1 minute,Red Light Balls hovering Then Fade Out,2/14/2014,40.6883,-105.094,2014.0,1.0
1/12/2014 13:35,huntsville,al,us,disk,480,8 minutes,Daylight-Saucer with cloud and two other lights.,1/16/2014,34.7303,-86.5861,2014.0,1.0
1/12/2014 13:35,marion,sc,us,disk,180,3 minutes,Black saucer over Marion&#44 SC.,1/16/2014,34.1781,-79.4008,2014.0,1.0
1/12/2014 15:30,melbourne,fl,us,cylinder,900,15 minutes,Five photos were taken.   ((NUFORC Note:  Possible bird in flight&#44 we believe?  Either a seagull&#44 or a pelican&#44 we suspect.  PD)),1/16/2014,28.0833,-80.6083,2014.0,1.0
1/12/2014 17:00,inverness,ms,us,cigar,900,15 minutes,500 foot wide silver object moved over 2 1000 foot radio towers no sound then disapiered.,1/16/2014,33.3536,-90.5925,2014.0,1.0
1/12/2014 17:10,ellington,ct,us,fireball,5,5 seconds,Fireball seen in CT sky.,1/16/2014,41.9039,-72.4703,2014.0,1.0
1/12/2014 17:15,georgetown,ky,us,light,2700,45 minutes,Orange streaks of light over Georgetown.,1/16/2014,38.2097,-84.5589,2014.0,1.0
1/12/2014 17:23,mukilteo/everett,wa,,unknown,180,3 minutes,Weird high pitch noises pulsing&#44 weird BOOM out of nowhere. Previous sighting: electronic BOOM noise&#44 ripples in the clouds.,1/16/2014,47.9088,-122.2681,2014.0,1.0
1/12/2014 17:45,river vale,nj,us,egg,4,4 seconds,BRILLIANT WHITE OBJECT MOVED ACROSS EASTERN SKY&#44 LEFT NO TRAIL ARCED DOWNWARD NEVER LOOSING ITS BRILLIANCE AND DISAPPEARED BEHIND TREES,1/16/2014,40.9953,-74.0125,2014.0,1.0
1/12/2014 18:00,burton on trent  (staffordshire) (uk/england),,,light,180,3 minutes,Red/green lights moving at various speeds.,1/16/2014,52.814,-1.6371,2014.0,1.0
1/12/2014 18:30,palatka,fl,us,fireball,420,7 minutes,Three fireballs moving slowly across sky.,1/16/2014,29.6483,-81.6378,2014.0,1.0
1/12/2014 19:30,rochester,ny,us,light,120,2 minutes,At approximately 7:30 pm &#44 my wife and I witnessed an orange glow in the southwest sky. The glow became larger as it got closer.  There,1/16/2014,43.1547,-77.6158,2014.0,1.0
1/12/2014 19:45,new sharon,me,us,circle,1200,20 minutes,Very bright white circle... occasionally small explosions of orange that seemed to propel the vessel.,1/16/2014,44.6389,-70.0161,2014.0,1.0
1/12/2014 20:15,cleveland,oh,us,light,240,4 minutes,15 balls of light moving quite fast in a line towards Lake Erie.,1/16/2014,41.4994,-81.6956,2014.0,1.0
1/12/2014 20:15,hartwell,ga,us,triangle,10,10 seconds,PILOT REPORT:  3 dim orange lights in triangle formation moving at high speed before separating in different directions.,1/16/2014,34.3528,-82.9322,2014.0,1.0
1/12/2014 21:05,inchelium,wa,us,triangle,120,2 minutes,Triangle Flying over Columbia River Colville Reservation.,1/16/2014,48.2969,-118.1956,2014.0,1.0
1/12/2014 22:30,annapolis valley (canada),ns,,flash,180,3 minutes,I was driving down the annapolis valley in Nova Scotia Canada and suddenly the whole sky was filled with multiple-colored flashes...lik,1/24/2014,44.9167,-65.1667,2014.0,1.0
1/12/2014 22:35,dallas,ga,us,oval,120,2 minutes,Beautiful lighted egg shape floated over my head&#33,1/16/2014,33.9236,-84.8408,2014.0,1.0
1/12/2014 23:30,haledon,nj,us,circle,900,10-15 minutes,Bright red/orange circular object in the SE sky.,1/16/2014,40.9356,-74.1867,2014.0,1.0
1/12/2014 23:30,newington (canada),on,,teardrop,180,3 minutes,Gold shimmering lights.  Stationary until I was watching&#44 then moved quickly.,1/16/2014,45.1174,-75.0121,2014.0,1.0
1/12/2014 23:31,new sharon,me,us,oval,3600,>60 minutes,One object&#44 very bright&#44 white&#44 oblong&#44 dark spot in the center. about half the size of a typical full moon&#44 and brighter than a typica,1/16/2014,44.6389,-70.0161,2014.0,1.0
1/13/2014 1:00,watchung (watchung mountain; viewed from),nj,us,light,1,1 second,Big ball of bright yellow light.,1/16/2014,40.6378,-74.4514,2014.0,1.0
1/13/2014 3:10,agawam,ma,us,light,1200,20 minutes,UFO&#44 Agawam MA 1/13/14&#44 white&#44 blue&#44 orange lights&#44 slow moving&#44 silent&#44 impossible aviation moves&#44 3:10 am.,1/24/2014,42.0694,-72.6153,2014.0,1.0
1/13/2014 3:15,southwick,ma,us,light,1200,15-20 minutes,Bright &quot;twinkling&quot; light appeared to be stationary and faded significantly during ~20 minutes of observation.,1/16/2014,42.0547,-72.7708,2014.0,1.0
1/13/2014 6:00,hugoton,ks,us,flash,3600,1 hour,((HOAX??))  Way bright light that does not move at all.  Not even a bit.,2/14/2014,37.1753,-101.3492,2014.0,1.0
1/13/2014 6:47,san antonio,tx,us,fireball,3,3 seconds,Two fast moving fireballs spotted over Medical Drive&#44 San Antonio.,1/16/2014,29.4239,-98.4933,2014.0,1.0
1/13/2014 13:45,carson,ca,us,sphere,60,1 minute,Silver hovering sphrere over Carson&#44 CA.,1/16/2014,33.8314,-118.2811,2014.0,1.0
1/13/2014 17:50,lorton,va,us,circle,2,2 seconds,Bright blue large fast moving circular object.,1/16/2014,38.7042,-77.2281,2014.0,1.0
1/13/2014 18:00,henderson/thronton/brighton,co,,fireball,1500,25 minutes,These lights were not normal aircraft.,1/16/2014,39.9353,-104.875,2014.0,1.0
1/13/2014 18:00,sioux city,ia,us,circle,120,2 minutes,4 bright orange balls of light moving silently through the sky - about the height a helicopter would fly.,1/24/2014,42.5,-96.4,2014.0,1.0
